date,open,high,low,close,volume
2017-09-08,23.72,24.0,23.68,23.76,23190.0
2017-09-07,23.7,24.02,23.7,23.84,24343.0
2017-09-06,23.88,24.0,23.64,23.71,38661.0
2017-09-05,24.2,24.28,23.91,24.0,35635.0
2017-09-04,24.26,24.4,24.2,24.27,25418.0
2017-09-01,24.53,24.56,24.25,24.34,31734.0
2017-08-31,24.65,24.75,24.32,24.48,25363.0
2017-08-30,24.62,24.92,24.58,24.64,34119.0
2017-08-29,24.51,24.66,24.37,24.58,24442.0
2017-08-28,24.37,24.66,24.26,24.52,39141.0
2017-08-25,24.3,24.39,24.13,24.33,19906.0
2017-08-24,24.21,24.7,24.12,24.3,26896.0
2017-08-23,24.2,24.42,24.16,24.17,25427.0
2017-08-22,24.7,24.7,24.24,24.3,27499.0
2017-08-21,24.39,24.8,24.39,24.5,29704.0
2017-08-18,24.48,24.49,24.2,24.24,43090.0
2017-08-17,24.53,24.69,24.38,24.54,30772.0
2017-08-16,24.47,24.83,24.37,24.49,29468.0
2017-08-15,24.6,24.8,24.38,24.48,50661.0
2017-08-14,25.01,25.76,24.71,24.77,104349.0
2017-08-11,24.58,24.99,24.46,24.98,86411.0
2017-08-10,24.6,24.98,24.22,24.86,78182.0
2017-08-09,24.28,24.78,24.19,24.63,53947.0
2017-08-08,24.4,24.49,24.17,24.2,41983.0
2017-08-07,24.45,24.68,24.16,24.46,41349.0
2017-08-04,24.49,24.9,24.35,24.45,52638.0
2017-08-03,24.06,24.98,24.03,24.66,89598.0
2017-08-02,24.71,24.71,23.98,24.07,92427.0
2017-08-01,23.56,25.45,23.56,24.79,146493.0
2017-07-31,24.1,24.3,23.5,23.65,80923.0
2017-07-28,22.97,23.05,22.75,22.82,16136.0
2017-07-27,22.8,23.06,22.65,22.97,20763.0
2017-07-26,22.64,22.88,22.63,22.82,19150.0
2017-07-25,22.61,22.8,22.61,22.71,22124.0
2017-07-24,23.06,23.06,22.6,22.75,44554.0
2017-07-21,23.39,23.55,23.0,23.06,36095.0
2017-07-20,23.63,23.69,23.39,23.42,28148.0
2017-07-19,23.54,23.69,23.32,23.55,36009.0
2017-07-18,23.3,23.65,23.26,23.54,29268.0
2017-07-17,24.31,24.31,21.89,23.62,90446.0
2017-07-14,24.32,24.47,24.2,24.32,59819.0
2017-07-13,24.1,24.37,24.01,24.31,60410.0
2017-07-12,23.87,24.36,23.82,24.21,87547.0
2017-07-11,23.99,23.99,23.75,23.86,34306.0
2017-07-10,23.7,24.06,23.65,23.92,50797.0
2017-07-07,23.67,23.84,23.51,23.73,33743.0
2017-07-06,23.65,23.75,23.54,23.69,27047.0
2017-07-05,23.78,23.8,23.53,23.65,31047.0
2017-07-04,23.54,23.98,23.51,23.81,43079.0
2017-07-03,23.63,23.72,23.42,23.65,21942.0
2017-06-30,23.48,23.65,23.26,23.64,31713.0
2017-06-29,23.58,23.8,23.42,23.49,24820.0
2017-06-28,23.51,23.85,23.42,23.61,35061.0
2017-06-27,23.7,23.97,23.56,23.58,33398.0
2017-06-26,23.85,23.85,23.52,23.71,34583.0
2017-06-23,23.51,23.76,23.21,23.71,46621.0
2017-06-22,23.53,23.83,23.32,23.58,64668.0
2017-06-21,23.52,23.57,23.21,23.41,31432.0
2017-06-20,23.7,23.76,23.25,23.38,41682.0
2017-06-19,22.97,23.55,22.95,23.52,57177.0
2017-06-16,22.88,22.92,22.77,22.85,21497.0
2017-06-15,22.99,23.07,22.9,22.92,27005.0
2017-06-14,23.22,23.22,22.88,22.99,24596.0
2017-06-13,23.002,23.189,22.913,23.11,25211.0
2017-06-12,22.894,23.179,22.766,22.992,39350.0
2017-06-09,23.248,23.572,22.815,22.874,73339.0
2017-06-08,23.464,23.641,23.08,23.307,52524.0
2017-06-07,23.484,23.651,23.366,23.543,26757.0
2017-06-06,23.356,23.552,23.248,23.523,20500.0
2017-06-05,23.503,23.552,23.316,23.415,22182.0
2017-06-02,23.533,23.857,23.267,23.464,50438.0
2017-06-01,23.159,23.67,23.041,23.641,76131.0
2017-05-31,23.11,23.434,22.982,23.307,47674.0
2017-05-26,22.962,23.012,22.697,22.962,30246.0
2017-05-25,22.982,23.08,22.825,23.012,37357.0
2017-05-24,22.766,23.051,22.559,22.982,45643.0
2017-05-23,22.51,22.884,22.195,22.864,69212.0
2017-05-22,22.274,22.599,22.127,22.579,36849.0
2017-05-19,22.323,22.471,22.205,22.372,18961.0
2017-05-18,22.254,22.471,22.028,22.392,39289.0
2017-05-17,22.667,22.805,22.353,22.372,34287.0
2017-05-16,22.618,22.717,22.431,22.717,28396.0
2017-05-15,22.618,22.707,22.323,22.667,32926.0
2017-05-12,22.372,22.697,22.333,22.441,16605.0
2017-05-11,22.412,22.667,21.93,22.53,46170.0
2017-05-10,22.481,22.707,22.323,22.481,25734.0
2017-05-09,22.422,22.785,22.372,22.481,25042.0
2017-05-08,22.402,22.579,22.195,22.54,41792.0
2017-05-05,22.225,22.481,22.127,22.461,39187.0
2017-05-04,22.235,22.392,22.087,22.382,27023.0
2017-05-03,22.323,22.599,22.077,22.372,38778.0
2017-05-02,23.09,23.159,22.225,22.412,80881.0
2017-04-28,23.11,23.257,22.844,23.208,45043.0
2017-04-27,23.198,23.454,22.825,23.238,55071.0
2017-04-26,23.336,23.523,23.09,23.149,47188.0
2017-04-25,23.749,23.956,23.307,23.356,81998.0
2017-04-24,23.897,24.015,23.208,23.995,111678.0
2017-04-21,23.602,23.946,23.385,23.897,108822.0
2017-04-20,22.962,23.749,22.825,23.71,126100.0
2017-04-19,23.277,23.395,22.54,23.1,88557.0
2017-04-18,22.913,24.29,22.667,23.582,111931.0
2017-04-17,22.913,22.953,22.422,22.933,43293.0
2017-04-14,23.169,23.169,22.628,22.923,59355.0
2017-04-13,23.316,23.356,23.012,23.071,71138.0
2017-04-12,22.51,23.395,22.333,23.277,140435.0
2017-04-11,22.166,22.549,22.136,22.53,50582.0
2017-04-10,22.49,22.569,22.127,22.127,49212.0
2017-04-07,22.52,22.844,22.481,22.5,49490.0
2017-04-06,22.913,22.953,22.52,22.589,51115.0
2017-04-05,22.52,23.09,22.52,22.913,62659.0
2017-03-31,22.481,22.874,22.481,22.618,45866.0
2017-03-30,22.815,23.1,22.372,22.589,64230.0
2017-03-29,23.149,23.415,22.785,22.815,89441.0
2017-03-28,22.687,23.277,22.422,23.012,75949.0
2017-03-27,22.254,23.415,22.235,22.726,84894.0
2017-03-24,22.136,22.304,22.127,22.254,28169.0
2017-03-23,22.068,22.323,22.028,22.215,39587.0
2017-03-22,22.254,22.294,21.979,22.107,29152.0
2017-03-21,22.018,22.323,21.891,22.304,35153.0
2017-03-20,22.038,22.058,21.881,22.038,20250.0
2017-03-17,22.225,22.304,21.95,22.028,31466.0
2017-03-16,22.117,22.254,22.038,22.235,26897.0
2017-03-15,22.274,22.274,21.999,22.136,25761.0
2017-03-14,22.077,22.304,21.979,22.146,28982.0
2017-03-13,21.959,22.087,21.881,22.068,27283.0
2017-03-10,22.274,22.392,22.087,22.097,17368.0
2017-03-09,22.294,22.294,21.95,22.274,27035.0
2017-03-08,22.441,22.441,22.215,22.304,25815.0
2017-03-07,22.481,22.481,22.333,22.392,20595.0
2017-03-06,22.343,22.451,22.254,22.363,22367.0
2017-03-03,22.225,22.372,22.136,22.333,22086.0
2017-03-02,22.618,22.717,22.313,22.323,35520.0
2017-03-01,22.658,22.756,22.599,22.658,28848.0
2017-02-28,22.549,22.736,22.54,22.658,23322.0
2017-02-27,22.815,22.903,22.549,22.628,26161.0
2017-02-24,22.618,22.854,22.481,22.736,21889.0
2017-02-23,22.726,23.002,22.461,22.658,42837.0
2017-02-22,23.139,23.208,22.776,22.825,35197.0
2017-02-21,22.894,23.248,22.835,23.08,36595.0
2017-02-20,22.953,23.208,22.776,22.992,42803.0
