AT,V,AP,RH
17.8,43.72,1008.71,78.5
29.6,71.14,1011.46,52.69
11.06,36.71,1021.67,80.44
30.06,67.25,1017.63,53.59
19.88,47.03,1012.27,91.99
7.77,40.27,1010.25,83.65
15.09,44.34,1019.46,60.49
16.53,46.18,1010.2,95.42
10.33,40.6,1015.0,88.62
14.33,45.51,1015.42,71.55
18.85,67.32,1012.91,82.37
20.07,42.23,1012.86,74.11
26.45,75.6,1017.42,74.5
20.5,49.69,1009.6,70.81
15.84,49.69,1015.14,90.41
8.22,41.82,1032.77,71.63
27.44,47.93,1002.71,59.44
8.38,39.22,1015.03,75.14
19.6,60.95,1015.4,84.26
9.86,37.83,1005.05,100.15
30.65,65.18,1012.51,42.32
25.88,61.47,1007.93,68.71
12.43,40.27,1007.08,61.56
15.03,42.44,1014.25,94.52
12.78,41.04,1025.16,85.14
14.38,40.73,1017.48,90.64
22.63,45.61,1014.14,73.06
23.36,74.93,1016.57,71.91
25.08,51.43,1011.8,71.98
23.14,60.27,1018.51,80.54
25.65,49.3,1003.73,68.48
12.74,41.5,1012.94,86.28
13.42,38.91,1012.81,73.82
22.21,60.77,1018.21,84.96
13.18,40.03,1017.75,82.29
23.63,58.62,1016.45,69.97
9.38,40.46,1019.29,75.77
26.8,72.58,1009.22,89.03
23.94,59.39,1014.32,74.55
11.12,44.92,1025.58,93.52
32.21,68.14,1003.34,62.44
26.51,70.32,1010.3,57.4
26.04,71.14,1011.66,68.95
21.64,44.05,1007.73,74.79
10.27,41.44,1017.04,77.09
14.8,38.73,1003.18,80.73
15.3,41.76,1022.57,71.56
16.85,42.24,1017.43,66.01
16.25,58.86,1015.94,86.52
16.91,43.96,1013.32,79.87
20.9,67.71,1007.16,59.02
18.34,44.63,1000.76,89.27
8.29,36.08,1020.38,81.53
20.72,68.61,1011.25,87.1
23.32,69.23,1011.75,75.59
10.05,41.17,1018.98,83.71
35.1,68.27,1006.96,43.51
27.08,66.05,1017.33,54.68
22.4,70.94,1008.06,84.52
8.11,42.18,1014.82,93.09
9.35,44.03,1011.02,88.11
24.6,57.32,1012.48,45.14
24.6,75.23,1012.04,76.77
6.93,40.67,1020.17,71.16
27.35,77.95,1012.14,74.14
29.28,65.71,1013.76,48.05
10.04,39.66,1015.84,82.31
17.14,58.16,1018.59,77.22
24.2,64.33,1011.15,84.23
10.65,41.78,1013.66,70.04
23.82,60.32,1016.61,75.29
24.92,63.94,1017.7,44.92
16.02,39.54,1007.73,72.81
15.01,43.56,1014.65,61.82
7.77,35.77,1016.53,73.79
28.46,49.16,1004.61,38.1
27.86,61.5,1009.23,46.19
15.5,39.16,1016.24,78.13
11.33,41.5,1013.58,88.7
14.45,43.71,1025.26,84.23
25.6,66.48,1006.16,69.34
17.69,44.34,1019.31,61.12
20.94,49.02,1008.91,87.32
31.13,67.45,1015.02,41.34
11.47,25.36,1008.27,95.4
16.63,39.16,1005.85,72.02
6.1,40.07,1020.21,67.24
26.02,70.79,1004.21,79.12
10.6,41.17,1018.38,87.92
10.57,41.55,1003.62,67.89
17.21,52.9,1019.91,77.31
19.15,59.21,1018.41,88.9
22.5,70.94,1008.04,82.39
6.33,42.07,1004.25,77.1
23.87,50.39,1012.96,76.05
23.92,61.87,1009.63,54.16
10.59,41.46,1016.87,85.7
24.34,73.5,1011.31,84.15
7.19,41.39,1018.12,90.76
22.19,60.37,1008.45,92.43
26.51,50.05,1006.75,65.34
29.23,68.14,1004.31,81.46
22.8,69.23,1011.8,76.95
31.46,70.79,1003.54,59.51
31.44,72.86,1003.74,61.45
26.48,66.54,1011.61,51.9
14.29,37.85,1009.98,92.81
24.41,56.9,1006.58,77.94
23.22,59.15,1014.58,75.18
14.43,38.28,1014.76,79.76
13.86,40.66,1017.15,83.82
10.2,41.46,1020.23,84.54
8.62,42.49,1009.06,86.93
5.52,39.33,1009.74,95.25
30.51,60.75,1009.86,51.0
12.25,44.85,1014.13,85.25
8.55,36.25,1029.54,85.23
26.02,71.94,1009.38,64.12
17.2,40.55,1000.68,72.67
13.66,41.67,1013.43,80.56
30.74,73.67,1005.79,57.89
9.51,40.81,1015.69,82.52
19.54,50.66,1014.7,84.53
32.78,71.22,1005.12,48.77
18.95,42.23,1013.01,79.4
18.27,65.94,1013.09,84.72
23.25,69.45,1013.85,70.14
25.96,63.77,1013.24,65.43
10.71,41.93,1018.23,90.88
7.39,39.85,1011.63,83.61
23.23,64.69,1008.12,76.6
26.17,48.6,1002.59,61.41
24.48,64.45,1014.69,51.43
21.0,66.86,1013.06,59.7
14.85,38.91,1014.48,60.98
8.01,40.46,1019.42,76.15
11.8,43.22,1008.57,78.01
11.48,42.02,1000.29,94.76
13.82,44.84,1023.72,95.24
9.39,40.11,1029.14,77.29
13.83,38.73,999.62,91.95
21.0,70.02,1010.22,95.11
12.28,42.34,1019.19,95.8
19.2,54.2,1011.46,84.44
18.9,60.07,1016.02,71.38
12.57,41.66,1009.11,70.74
23.91,50.23,1017.25,68.57
6.5,41.14,1028.15,86.78
13.71,45.08,1023.35,82.93
28.01,44.89,1008.98,48.52
29.82,69.75,1010.09,65.02
24.74,63.87,1016.91,55.65
15.6,44.68,1018.35,85.91
25.04,70.47,1006.82,84.75
12.41,37.92,1008.09,65.23
25.69,59.07,1006.89,82.34
14.54,42.99,1009.27,90.88
23.03,65.12,1016.29,69.8
29.42,69.14,1007.32,75.04
21.94,57.5,1014.64,78.52
31.07,70.32,1011.74,65.91
23.32,69.13,1010.75,91.84
19.62,62.96,1020.76,76.53
27.41,63.07,1011.5,55.3
29.5,71.14,1011.27,52.81
17.89,44.78,1010.03,53.78
26.77,68.08,1010.83,63.48
7.61,44.71,1019.41,70.48
10.48,40.22,1004.81,92.16
14.64,44.92,1025.54,91.12
8.52,38.5,1013.16,64.06
9.26,39.61,1021.18,84.58
23.21,62.44,1011.78,76.66
30.55,71.06,1009.33,73.38
18.56,42.18,1001.46,99.59
14.82,40.0,1016.32,66.3
28.31,71.85,1009.0,77.56
16.39,41.67,1012.96,61.07
11.23,41.17,1019.36,56.85
29.35,68.51,1007.63,70.67
12.59,44.34,1017.01,85.57
20.98,60.07,1016.26,67.18
22.29,43.79,1015.68,41.75
11.58,41.74,1020.41,74.09
13.87,38.01,1022.61,84.22
14.72,40.83,1009.65,80.98
26.43,66.48,1004.36,55.9
28.52,70.72,1009.64,66.76
3.21,38.44,1016.9,86.34
23.48,66.49,1014.41,62.61
5.37,40.07,1012.75,63.58
15.67,38.62,1015.76,66.29
17.12,58.95,1016.74,90.41
9.14,37.36,1015.22,78.06
23.64,71.25,1004.92,93.87
22.33,45.87,1007.8,63.61
24.55,58.86,1015.22,60.53
32.83,74.33,1011.44,50.42
26.31,52.09,1013.39,53.59
24.78,58.46,1016.82,67.5
28.75,77.24,1008.92,77.17
28.9,71.25,1000.73,77.24
12.86,40.6,1013.6,84.85
26.9,59.14,1016.18,70.88
27.17,63.09,1015.59,68.33
10.63,42.28,1008.37,92.68
6.84,41.06,1021.04,89.59
21.73,61.45,1010.27,91.59
29.49,69.71,1009.34,56.35
11.1,40.0,1021.29,86.58
18.5,52.08,1006.23,100.09
26.48,73.06,1008.07,90.73
23.62,56.85,1011.11,64.44
15.06,39.3,1019.63,63.32
9.03,37.14,1012.79,76.27
12.14,40.83,1010.56,78.31
12.26,43.48,1016.41,72.95
14.38,44.84,1024.59,81.68
32.14,75.08,1005.35,49.92
27.02,72.58,1009.21,89.13
21.08,46.93,1014.49,63.33
5.51,41.03,1022.28,84.5
26.37,70.79,1005.31,77.3
6.93,38.68,1017.61,61.28
22.62,51.3,1012.36,81.02
23.89,50.16,1004.88,73.94
11.09,40.43,1025.47,74.97
17.3,57.76,1016.26,87.74
21.96,59.8,1016.72,72.6
20.89,68.63,1012.6,69.52
20.84,65.06,1016.88,71.93
17.47,43.77,1012.25,76.78
12.24,40.96,1023.22,78.74
22.01,49.39,1019.6,75.8
10.35,40.27,1005.09,92.42
15.72,41.76,1023.07,66.95
21.38,65.12,1015.73,68.02
23.06,63.9,1013.54,65.28
16.09,48.78,1015.78,91.12
17.8,46.48,1007.27,81.31
26.49,71.73,1010.07,74.48
25.74,65.38,1009.6,54.34
18.93,48.6,1005.72,84.92
25.88,74.67,1016.66,81.09
25.03,60.84,1017.69,59.23
34.11,73.56,1006.77,45.92
16.29,50.88,1013.79,99.15
27.76,71.97,1008.53,86.97
25.14,60.93,1007.44,76.71
19.6,48.14,1013.18,68.71
11.47,43.67,1012.68,72.51
9.84,36.66,1026.7,70.02
19.46,46.33,1013.77,89.62
23.28,72.24,1011.3,90.5
26.59,66.49,1013.32,49.76
9.99,36.71,1023.57,83.53
3.96,35.47,1016.79,83.81
23.04,59.43,1010.23,68.99
32.4,68.14,1004.44,34.53
25.42,73.17,1012.29,85.86
16.49,49.39,1018.1,93.13
30.33,70.36,1006.72,70.31
14.17,43.13,1014.94,48.62
21.54,58.41,1013.99,86.34
14.88,42.28,1007.26,71.3
26.13,71.64,1004.16,87.18
30.8,70.94,1007.06,63.09
12.88,42.74,1026.25,74.54
12.19,41.06,1021.35,74.98
28.61,72.29,1011.61,45.33
14.16,44.06,1018.92,76.34
20.53,49.16,1007.11,90.02
23.95,51.86,1014.24,68.28
15.93,40.89,1011.57,74.55
8.07,43.41,1016.02,76.26
12.54,44.03,1007.05,84.03
