AT,V,AP,RH
22.99,62.96,1019.6,65.05
27.71,74.34,998.14,71.85
29.98,76.09,1007.62,75.6
9.57,39.82,1013.12,89.15
30.95,73.06,1008.86,74.86
27.15,73.9,1007.57,74.42
25.71,58.59,1012.77,61.83
21.9,47.43,1006.8,60.48
12.27,49.83,1007.75,92.02
23.74,72.43,1007.99,91.36
8.61,43.8,1021.9,74.35
27.01,69.75,1009.78,81.29
29.51,75.6,1017.92,50.61
26.63,74.16,1009.72,83.26
18.31,46.21,1010.46,82.15
11.7,25.36,1008.65,92.11
7.98,40.77,1008.69,98.65
8.28,40.56,1023.29,79.44
24.61,69.68,1012.06,92.47
10.06,39.61,1020.69,69.49
19.92,48.98,1014.32,64.99
15.15,37.64,1014.37,89.82
26.86,68.08,1012.99,50.04
11.83,45.09,1013.11,88.52
3.21,38.44,1017.11,84.86
10.31,37.5,1008.55,99.31
10.07,34.69,1028.09,70.52
23.58,70.04,1010.95,76.32
10.62,39.96,1025.37,96.64
22.05,59.92,1009.06,93.74
13.88,39.16,1010.8,75.69
10.96,45.01,1017.97,95.82
12.49,41.62,1011.37,82.68
13.88,39.39,1014.08,80.48
13.7,43.22,1012.01,71.57
23.55,62.96,1020.16,70.16
23.27,64.15,1020.98,71.18
28.25,71.77,1006.36,67.03
10.96,37.5,1013.46,79.54
19.23,45.01,1012.24,72.91
20.86,67.25,1017.45,81.45
25.64,63.47,1012.33,68.35
10.2,40.67,1016.15,73.2
27.49,63.76,1010.09,62.8
11.19,40.64,1020.57,84.49
24.97,63.86,1018.64,52.01
24.32,66.25,1009.09,91.89
9.02,38.08,1019.02,69.98
10.94,43.67,1012.36,73.3
16.71,42.99,1007.72,75.35
16.18,41.66,1010.01,65.62
26.15,64.27,1013.03,59.77
14.93,41.79,1008.88,81.48
16.0,44.9,1020.5,80.89
9.34,41.49,1020.58,97.59
9.1,39.42,1025.28,68.78
18.86,50.78,1008.46,91.67
20.57,42.8,1013.1,75.48
26.06,71.73,1009.65,77.02
30.17,76.86,998.23,73.61
15.27,56.89,1013.28,86.92
29.07,51.43,1006.22,61.58
22.68,70.47,1010.86,82.8
14.68,41.23,998.43,83.71
26.45,54.5,1014.96,65.55
30.21,75.33,1002.24,66.71
23.0,63.78,1015.85,70.46
27.07,74.87,1010.09,58.97
24.26,42.8,1013.72,61.62
23.71,67.17,1007.27,90.2
24.52,56.85,1012.59,54.47
20.92,63.86,1020.49,72.98
29.05,75.6,1017.63,51.16
12.52,41.44,1016.08,68.94
12.87,39.3,1020.64,74.38
29.83,71.98,1004.32,67.55
21.74,70.32,1011.88,85.95
14.71,52.72,1024.7,70.29
27.06,72.58,1009.24,90.31
16.52,53.16,1014.68,76.82
21.81,65.06,1014.6,66.41
15.15,39.58,1011.94,73.63
23.45,70.04,1010.99,79.2
8.51,41.26,1023.17,87.79
26.16,70.04,1009.63,73.22
21.73,64.63,1020.84,68.9
24.01,50.16,1004.22,75.32
24.35,73.17,1012.2,85.88
11.23,39.72,1018.46,60.62
26.35,69.48,1008.45,70.47
19.79,60.1,1010.47,84.04
21.9,57.76,1017.45,66.89
5.7,40.62,1016.07,84.94
16.09,50.59,1015.69,84.41
20.36,60.1,1011.21,84.79
28.61,52.84,1006.0,45.73
25.44,69.59,1008.22,80.73
11.49,35.76,1019.08,60.04
24.37,68.14,1005.22,59.27
13.07,40.83,1010.0,84.84
24.91,64.45,1013.02,42.34
25.35,66.56,1008.75,66.88
18.06,56.65,1020.2,81.59
29.84,74.87,1009.64,61.39
24.88,63.31,1014.23,55.76
18.5,46.93,1015.0,66.81
27.18,62.66,1009.89,52.83
10.82,39.96,1025.53,95.89
25.23,60.84,1017.79,56.42
13.73,41.78,1011.75,49.65
8.43,40.69,1020.36,87.28
25.24,67.45,1013.56,50.91
12.59,40.03,1018.76,85.4
20.21,69.94,1009.33,83.96
25.91,68.08,1010.92,74.25
6.87,40.07,1017.91,57.64
29.36,68.94,1007.5,79.91
21.86,60.27,1016.06,90.48
21.04,45.09,1014.19,40.62
29.74,70.32,1008.1,52.72
26.7,49.02,1007.68,67.97
31.12,69.13,1009.61,56.54
20.88,59.8,1015.66,75.34
27.54,68.27,1008.12,56.42
24.56,60.27,1017.63,74.5
26.71,76.86,1002.86,74.5
27.77,62.26,1010.88,66.45
22.8,49.16,1006.4,77.05
10.02,41.44,1017.37,77.65
6.99,39.37,1020.19,75.06
12.93,41.39,1018.5,80.28
9.42,41.4,1029.21,86.4
29.69,47.93,1002.85,44.76
9.2,40.03,1017.05,92.46
31.09,59.57,1010.67,60.5
10.41,44.68,1023.53,91.38
25.37,68.31,1011.12,70.99
21.84,55.5,1019.28,62.17
3.63,38.44,1016.16,87.38
28.61,69.84,1004.02,67.26
10.03,42.02,998.6,99.9
28.94,68.67,1005.39,75.24
10.94,40.81,1026.03,80.79
24.48,50.23,1017.03,66.89
27.96,49.16,1004.8,35.64
8.93,40.46,1019.03,71.0
33.82,72.29,1008.67,46.95
13.11,41.44,1015.55,74.45
19.44,48.7,1008.66,94.71
22.3,74.87,1009.69,86.18
14.65,41.92,1030.61,63.07
24.94,62.96,1019.76,58.44
21.84,60.29,1017.23,66.89
24.24,72.43,1008.02,86.4
7.81,40.71,1023.32,82.08
23.86,63.77,1014.6,82.37
25.95,59.92,1010.05,76.05
26.38,66.49,1013.89,43.06
30.05,56.9,1007.02,41.96
29.7,67.17,1007.31,66.56
15.24,44.45,1020.56,66.13
26.2,74.67,1016.69,84.38
28.42,73.4,1011.39,62.72
25.51,67.69,1004.53,80.03
22.97,63.94,1010.5,88.47
21.98,55.97,1009.12,89.51
22.53,74.87,1009.91,93.21
24.44,69.84,1005.34,80.37
18.14,49.78,1002.95,100.09
8.68,43.14,1011.94,79.06
13.32,44.9,1007.72,78.64
24.1,71.29,1007.96,67.56
7.57,41.14,1028.23,87.97
32.43,68.31,1010.09,42.22
24.39,51.86,1014.92,59.98
12.75,44.2,1017.59,81.22
16.09,44.2,1019.39,67.24
21.74,60.27,1015.82,88.96
28.41,75.6,1018.48,56.07
12.36,45.09,1013.05,88.4
28.21,70.8,1010.45,77.92
28.68,70.72,1009.43,71.33
18.59,43.14,1011.92,52.63
8.01,40.62,1015.62,86.43
26.33,64.45,1013.12,43.31
29.95,73.42,1011.44,66.32
13.7,45.64,1019.18,92.66
18.68,43.69,1016.68,48.88
16.56,42.99,1007.48,74.45
22.1,65.94,1009.79,67.57
16.64,39.64,1008.7,81.79
13.93,42.86,1032.37,71.11
17.81,45.0,1022.32,43.84
10.19,44.63,1020.58,91.64
21.45,45.09,1013.83,52.26
15.34,41.96,1012.08,100.12
25.63,72.99,1008.2,86.8
6.71,40.96,1022.71,91.89
4.62,38.44,1016.09,73.14
20.08,62.52,1017.99,75.74
26.41,68.24,1010.6,77.79
9.77,34.69,1027.72,74.98
29.98,67.22,1014.22,52.69
29.41,64.05,1009.82,67.4
10.8,41.62,1012.84,93.84
26.37,69.84,1002.71,83.51
4.78,42.85,1013.39,93.36
13.45,41.49,1020.19,88.72
16.51,41.79,1007.1,74.03
27.33,68.94,1007.04,61.83
28.42,75.23,1010.25,56.8
16.55,46.18,1009.97,96.54
31.15,66.25,1008.89,61.08
26.08,48.6,1003.61,57.8
6.23,40.96,1022.49,93.15
25.88,63.47,1011.95,65.87
18.68,62.1,1019.78,83.67
20.65,57.5,1016.04,87.45
25.76,71.06,1007.93,90.4
33.6,74.33,1012.31,35.66
17.7,38.52,1020.15,69.8
29.1,73.9,1007.47,59.48
9.38,44.77,1020.41,85.26
20.47,58.16,1016.97,68.6
27.67,71.64,1004.41,78.14
23.84,49.21,1013.85,50.36
13.44,37.85,1009.78,99.13
16.12,45.87,1008.15,86.12
14.94,42.77,1018.9,73.95
16.16,52.05,1013.19,75.37
17.36,41.23,998.08,63.46
25.63,71.58,1010.14,87.57
9.42,41.4,1029.99,88.41
24.99,48.92,1010.03,41.26
25.72,72.39,1003.01,86.38
17.7,43.69,1016.98,61.98
21.11,74.78,1009.71,84.35
26.17,48.92,1009.87,34.43
10.58,42.34,1022.32,94.01
28.77,75.23,1010.01,59.0
20.36,57.5,1014.36,82.96
27.28,51.43,1011.46,51.38
24.39,71.85,1009.73,72.24
7.41,40.71,1023.07,83.32
10.31,40.67,1017.61,69.61
26.19,73.77,1001.31,91.87
24.35,59.21,1018.21,54.46
12.54,40.8,1024.56,68.97
19.97,59.21,1017.87,83.46
23.61,59.39,1015.11,78.84
24.51,62.08,1022.58,57.44
26.3,67.07,1006.26,63.79
5.99,35.79,1011.56,91.69
23.69,73.67,1007.19,86.73
10.51,39.04,1023.95,85.35
10.33,43.99,1020.7,96.68
11.02,40.71,1020.3,86.64
16.37,53.16,1014.89,74.84
13.89,43.7,1015.12,64.99
34.4,77.95,1009.83,57.86
24.56,66.75,1018.5,77.47
21.53,59.8,1016.46,74.72
21.84,59.39,1015.77,88.12
29.45,68.27,1007.96,61.63
22.98,73.17,1011.94,90.13
14.04,40.2,1013.29,89.54
25.2,65.59,1013.0,71.34
8.25,43.14,1011.3,87.1
25.21,49.82,1016.44,63.14
20.68,42.04,1010.2,63.43
9.44,39.82,1013.26,91.55
28.86,73.67,1006.65,68.23
13.8,42.99,1007.16,67.28
32.63,69.89,1013.85,41.66
10.77,41.54,1019.94,71.13
21.43,60.95,1015.27,75.49
21.93,60.84,1017.8,82.61
12.36,52.75,1026.04,68.71
24.77,58.41,1013.78,80.57
11.83,44.21,1019.37,85.31
9.8,41.82,1032.98,67.55
9.32,36.3,1027.9,77.02
23.19,48.6,1002.38,61.19
27.79,69.23,1012.86,45.71
30.31,74.16,1010.69,58.81
26.22,67.45,1013.7,44.04
21.16,65.48,1016.99,72.79
10.2,41.62,1016.52,98.09
14.84,43.69,1016.31,68.67
6.17,41.31,1002.49,87.59
26.53,54.2,1012.9,66.73
25.02,59.44,1012.49,73.65
25.72,66.86,1007.47,69.14
26.72,67.79,1010.35,63.31
26.54,66.51,1015.39,51.22
15.56,40.12,1013.72,89.78
24.07,73.46,1006.61,73.46
25.44,65.06,1013.82,55.72
17.86,50.88,1015.59,88.28
12.26,39.96,1011.79,79.06
18.82,61.27,1019.5,72.23
24.06,58.2,1017.46,48.04
8.83,36.25,1028.86,85.6
6.92,39.61,1018.64,82.27
31.24,74.22,1007.74,48.77
8.7,39.72,1020.0,78.75
21.46,51.61,1010.91,76.41
4.71,42.07,1005.35,82.26
14.53,39.0,1016.48,76.36
11.76,41.58,1020.91,88.35
15.37,43.34,1014.84,80.37
31.86,69.59,1008.61,59.74
22.16,64.63,1020.81,68.47
20.33,57.76,1016.47,75.35
25.61,60.32,1015.77,56.48
13.15,42.44,1014.51,99.53
16.14,44.71,1014.83,39.41
22.79,68.63,1012.99,55.78
33.71,69.98,1013.09,42.62
29.0,77.54,1011.33,75.13
9.39,41.79,1021.6,50.09
23.25,70.32,1009.28,86.52
15.74,43.34,1013.38,81.45
24.18,66.48,1003.3,70.99
18.48,58.59,1015.61,85.14
14.01,39.0,1016.73,79.23
3.31,39.42,1024.05,84.31
22.59,66.54,1005.11,92.62
29.9,74.99,1002.28,59.76
28.96,75.23,1010.88,49.45
20.36,56.53,1020.25,72.96
19.13,45.38,1014.72,81.95
20.79,68.28,1001.42,76.77
28.4,74.93,1013.65,48.6
23.47,59.22,1013.44,83.33
16.58,43.99,1021.81,79.29
25.58,61.08,1013.37,71.27
12.74,41.38,1021.92,56.67
20.51,63.09,1016.39,92.99
23.01,66.54,1009.86,64.53
18.75,44.9,1007.99,75.76
13.71,43.41,1015.45,69.26
9.43,43.69,1017.28,91.8
13.24,40.83,1007.9,87.53
23.23,60.32,1016.73,78.35
15.92,41.79,1006.24,79.42
26.31,68.51,1013.26,68.66
25.53,62.96,1019.81,59.7
22.68,58.82,1010.11,82.8
15.34,40.73,1018.03,86.19
20.94,44.89,1009.64,75.14
23.04,63.86,1019.83,59.78
12.92,39.35,1014.56,88.29
20.3,59.8,1015.24,78.75
11.03,42.32,1017.26,90.56
9.54,41.17,1019.79,65.61
22.76,49.21,1014.35,48.85
34.1,73.03,1014.01,41.26
23.21,73.42,1010.34,88.29
11.99,49.83,1008.33,95.2
16.18,43.99,1021.97,80.96
26.16,63.76,1010.03,68.77
31.35,70.8,1010.11,66.37
29.14,75.23,1010.15,54.87
22.58,58.12,1014.88,80.59
13.05,44.34,1018.47,81.2
11.54,40.77,1022.13,83.5
30.67,77.95,1015.28,61.67
31.44,64.44,1014.04,49.15
25.58,63.47,1011.44,66.81
20.27,57.76,1016.66,75.76
24.44,52.84,1006.39,49.05
24.93,73.5,1011.28,83.09
13.61,38.47,1015.1,54.98
17.76,40.55,1002.82,73.77
15.37,43.67,1011.9,91.48
29.89,71.29,1009.0,55.72
9.98,39.66,1017.32,77.78
13.9,44.0,1025.1,87.17
25.58,47.01,1014.5,63.53
23.49,42.8,1013.96,65.31
23.5,54.42,1012.31,68.29
23.63,73.5,1011.46,89.39
19.99,65.94,1012.28,75.42
28.66,74.93,1014.04,51.26
17.33,41.35,999.51,68.36
10.9,39.64,1010.58,64.88
16.25,58.16,1018.34,78.59
23.0,60.37,1005.34,83.73
11.75,40.55,1018.09,97.7
24.41,69.48,1008.34,76.13
30.97,74.22,1007.93,49.74
19.96,39.53,1006.16,62.77
27.65,67.07,1005.65,60.42
25.64,63.87,1017.14,49.25
12.57,39.18,1023.09,77.28
26.05,73.88,1005.67,82.08
26.85,57.19,1007.9,60.04
14.28,37.2,1013.96,82.71
17.09,42.42,1009.03,72.01
9.55,43.99,1020.5,97.28
16.69,53.82,1015.39,63.62
11.46,39.1,1010.17,100.15
26.77,64.45,1013.26,44.56
33.97,72.29,1008.98,44.32
14.35,35.71,1016.1,60.86
11.67,40.23,1017.65,82.48
22.18,59.8,1016.77,73.16
9.63,43.02,1012.4,68.41
15.43,40.89,1010.63,73.03
12.76,41.48,1014.06,70.34
23.75,61.5,1008.16,69.14
12.07,40.81,1025.63,68.02
10.87,38.38,1020.85,69.78
24.71,60.77,1016.67,69.7
10.01,43.7,1015.73,91.97
21.95,50.66,1013.92,70.94
7.4,41.04,1024.44,90.9
10.88,44.63,1020.52,86.81
16.38,46.97,1013.6,73.67
16.89,49.21,1015.19,70.39
12.2,44.77,1018.64,76.1
12.99,41.93,1020.25,74.64
28.92,61.02,1011.19,56.13
28.74,70.32,1008.15,45.99
27.33,52.84,1005.88,56.16
31.58,66.54,1003.26,54.0
13.08,43.14,1019.39,99.74
10.02,39.96,1024.88,96.85
15.34,36.99,1007.87,94.59
22.25,59.8,1016.79,69.02
28.62,70.94,1007.38,53.0
17.98,56.85,1012.28,84.52
10.92,40.92,1021.84,83.03
10.14,42.02,1003.19,96.51
7.06,41.38,1021.94,83.55
26.3,69.05,1005.37,41.7
19.21,58.49,1011.7,91.29
31.12,67.69,1005.3,50.46
19.68,56.65,1020.75,67.25
27.24,68.08,1013.23,51.96
8.89,41.54,1019.27,82.87
26.25,66.56,1008.29,60.65
21.14,58.98,1009.05,94.36
27.82,76.09,1007.83,76.07
13.65,42.86,1015.41,87.67
27.18,64.44,1012.81,61.27
27.23,66.48,1005.23,52.38
31.94,69.98,1013.32,56.17
22.83,41.1,1002.0,38.62
16.78,37.2,1011.97,68.94
24.88,52.36,1014.45,68.39
3.4,39.64,1011.1,83.43
13.73,50.59,1020.44,85.54
15.65,43.5,1021.39,78.58
32.91,73.68,1014.49,50.62
8.47,40.46,1019.87,78.19
29.13,66.56,1006.63,52.85
12.14,48.04,1011.8,100.13
7.24,41.17,1020.35,80.56
30.08,73.42,1011.17,63.86
28.5,74.87,1009.67,53.78
11.18,37.5,1013.32,74.32
21.06,67.07,1004.9,84.09
18.42,58.95,1016.95,86.77
15.3,38.62,1017.19,70.63
8.6,42.28,1008.58,80.15
14.24,39.52,1018.22,77.19
3.82,35.47,1016.62,84.34
16.0,43.34,1013.58,78.87
14.0,40.8,1026.17,54.82
15.9,41.35,1005.35,92.89
21.14,58.05,1012.98,87.27
30.56,72.39,999.96,69.81
24.58,49.02,1008.85,79.32
13.2,40.83,1007.75,94.98
8.23,40.77,1011.92,90.59
26.7,62.26,1011.0,71.64
22.45,63.77,1014.57,87.44
18.35,62.1,1019.97,78.36
30.94,64.44,1014.36,53.76
20.77,51.3,1013.89,88.72
19.04,68.28,1004.52,86.16
5.21,43.65,1017.64,78.62
18.06,65.48,1018.79,77.95
31.04,66.54,1003.83,53.05
24.89,64.27,1013.52,64.65
21.31,69.05,1002.46,73.42
21.01,44.05,1010.61,64.12
15.24,45.87,1009.46,85.95
19.04,50.12,1010.53,100.09
24.27,63.87,1018.88,53.96
22.84,50.05,1005.59,79.49
12.99,44.0,1025.22,90.27
23.23,71.77,1005.01,88.1
25.8,44.57,1008.0,52.56
8.94,42.07,1018.9,85.93
27.24,44.89,1009.61,51.89
25.14,60.37,1006.63,77.17
27.78,60.07,1014.66,53.74
9.98,41.54,1019.7,80.79
17.1,49.69,1005.53,81.82
22.88,65.48,1017.33,66.26
26.94,66.48,1005.46,60.62
30.76,73.17,1009.89,50.43
31.37,76.86,997.34,62.94
25.47,70.36,1005.79,77.73
14.09,44.84,1023.65,94.29
30.66,73.77,1003.13,78.09
25.75,60.95,1014.75,53.3
27.05,77.95,1009.57,76.56
12.41,41.16,1017.45,93.64
28.57,62.26,1010.75,62.12
12.24,34.03,1018.44,69.27
26.16,67.9,1005.81,61.02
23.27,67.9,1006.17,71.01
14.1,42.74,1026.92,67.25
19.35,39.72,1002.5,51.24
19.98,56.53,1020.22,73.53
20.25,58.33,1013.25,68.92
20.35,68.61,1011.17,86.69
27.52,67.9,1005.65,59.52
29.25,72.99,1006.85,61.15
14.82,42.74,1028.04,69.81
9.68,40.77,1022.04,85.23
30.15,70.32,1007.58,54.14
20.51,42.23,1013.25,71.83
21.99,58.96,1014.09,61.3
19.46,42.04,1011.3,60.45
27.53,72.58,1009.13,89.06
27.23,49.16,1004.03,40.8
20.32,39.72,1002.0,51.71
27.17,61.25,1013.03,70.43
29.46,71.94,1006.96,62.26
21.3,66.86,1013.04,55.43
13.69,40.1,1014.38,83.57
21.28,70.32,1011.55,88.05
24.85,70.09,1006.56,70.09
15.52,43.7,1015.8,76.27
27.48,61.41,1012.2,45.06
11.21,44.03,1007.95,93.03
30.69,73.67,1006.14,60.58
7.49,39.81,1019.03,87.29
24.46,61.9,1013.88,87.16
25.44,66.54,1011.9,56.76
24.51,65.12,1016.18,62.39
24.67,61.5,1009.06,72.77
6.86,42.49,1007.95,93.96
29.79,62.66,1008.5,48.51
28.37,71.64,1007.39,71.06
25.53,57.17,1010.0,72.57
30.76,69.14,1007.63,71.24
24.2,60.95,1014.82,59.42
10.09,41.62,1015.21,96.56
8.63,43.79,1016.08,83.25
26.42,59.27,1012.9,65.38
21.84,58.86,1014.13,69.67
6.16,38.5,1012.83,93.68
25.61,52.36,1014.1,62.9
14.79,39.52,1017.95,71.97
16.64,43.14,1019.03,82.88
33.24,74.34,1002.58,45.05
13.18,52.72,1024.67,75.96
29.53,77.54,1010.39,66.13
27.69,65.34,1014.31,46.59
18.47,62.1,1019.86,82.57
19.04,51.86,1018.05,79.01
7.9,40.0,1018.74,79.55
12.29,40.03,1017.62,89.64
14.35,39.39,1012.92,82.41
14.43,39.82,1012.56,78.52
