x1,x2,x3,x4
5.8,4.0,1.2,0.2
5.1,2.5,3.0,1.1
6.6,3.0,4.4,1.4
5.4,3.9,1.3,0.4
7.9,3.8,6.4,2.0
6.3,3.3,4.7,1.6
6.9,3.1,5.1,2.3
5.1,3.8,1.9,0.4
4.7,3.2,1.6,0.2
6.9,3.2,5.7,2.3
5.6,2.7,4.2,1.3
5.4,3.9,1.7,0.4
7.1,3.0,5.9,2.1
6.4,3.2,4.5,1.5
6.0,2.9,4.5,1.5
4.4,3.2,1.3,0.2
5.8,2.6,4.0,1.2
5.6,3.0,4.5,1.5
5.4,3.4,1.5,0.4
5.0,3.2,1.2,0.2
5.5,2.6,4.4,1.2
5.4,3.0,4.5,1.5
6.7,3.0,5.0,1.7
5.0,3.5,1.3,0.3
7.2,3.2,6.0,1.8
5.7,2.8,4.1,1.3
5.5,4.2,1.4,0.2
5.1,3.8,1.5,0.3
6.1,2.8,4.7,1.2
6.3,2.5,5.0,1.9
6.1,3.0,4.6,1.4
7.7,3.0,6.1,2.3
5.6,2.5,3.9,1.1
6.4,2.8,5.6,2.1
5.8,2.8,5.1,2.4
5.3,3.7,1.5,0.2
5.5,2.3,4.0,1.3
5.2,3.4,1.4,0.2
