date,open,high,low,close,volume
2017-09-08 15:00,23.71,23.78,23.7,23.76,699.0
2017-09-08 14:55,23.7,23.71,23.68,23.71,812.0
2017-09-08 14:50,23.7,23.71,23.69,23.7,864.0
2017-09-08 14:45,23.72,23.72,23.7,23.71,1016.0
2017-09-08 14:40,23.72,23.75,23.7,23.72,646.0
2017-09-08 14:35,23.74,23.75,23.71,23.72,460.0
2017-09-08 14:30,23.72,23.74,23.71,23.74,325.0
2017-09-08 14:25,23.77,23.77,23.7,23.72,703.0
2017-09-08 14:20,23.72,23.78,23.69,23.78,1348.0
2017-09-08 14:15,23.76,23.8,23.72,23.73,1314.0
2017-09-08 14:10,23.8,23.81,23.75,23.75,1200.0
2017-09-08 14:05,23.84,23.84,23.8,23.81,402.0
2017-09-08 14:00,23.84,23.85,23.83,23.84,134.0
2017-09-08 13:55,23.84,23.85,23.83,23.85,289.0
2017-09-08 13:50,23.8,23.84,23.8,23.83,117.0
2017-09-08 13:45,23.77,23.83,23.77,23.82,251.0
2017-09-08 13:40,23.85,23.86,23.77,23.77,543.0
2017-09-08 13:35,23.86,23.87,23.85,23.87,273.0
2017-09-08 13:30,23.87,23.88,23.86,23.87,246.0
2017-09-08 13:25,23.91,23.91,23.88,23.88,157.0
2017-09-08 13:20,23.9,23.91,23.88,23.91,467.0
2017-09-08 13:15,23.91,23.92,23.89,23.9,263.0
2017-09-08 13:10,23.92,23.92,23.9,23.91,263.0
2017-09-08 13:05,23.92,23.94,23.91,23.92,395.0
2017-09-08 11:30,23.92,23.93,23.92,23.92,50.0
2017-09-08 11:25,23.92,23.93,23.92,23.92,115.0
2017-09-08 11:20,23.93,23.94,23.92,23.92,130.0
2017-09-08 11:15,23.93,23.95,23.93,23.93,225.0
2017-09-08 11:10,23.93,23.94,23.93,23.93,197.0
2017-09-08 11:05,23.94,23.94,23.91,23.93,525.0
2017-09-08 11:00,23.92,23.96,23.9,23.94,752.0
2017-09-08 10:55,23.95,23.96,23.9,23.92,346.0
2017-09-08 10:50,23.95,23.97,23.95,23.95,159.0
2017-09-08 10:45,23.95,23.97,23.95,23.97,79.0
2017-09-08 10:40,23.98,23.98,23.95,23.95,274.0
2017-09-08 10:35,23.98,23.98,23.97,23.97,392.0
2017-09-08 10:30,23.98,23.99,23.95,23.98,749.0
2017-09-08 10:25,24.0,24.0,23.99,23.99,1284.0
2017-09-08 10:20,23.96,24.0,23.95,24.0,530.0
2017-09-08 10:15,23.99,24.0,23.95,23.96,681.0
2017-09-08 10:10,23.89,24.0,23.87,23.99,720.0
2017-09-08 10:05,23.91,23.91,23.89,23.89,310.0
2017-09-08 10:00,23.87,23.92,23.86,23.91,186.0
2017-09-08 09:55,23.82,23.88,23.82,23.87,349.0
2017-09-08 09:50,23.8,23.83,23.78,23.82,265.0
2017-09-08 09:45,23.8,23.83,23.78,23.8,461.0
