x,y
8.34,24.76 
23.64,20.87 
29.74,30.40 
19.07,27.76 
11.8,18.08 
13.97,14.69 
22.1,61.44 
14.47,27.17 
31.25,7.23 
6.77,19.26 
28.28,66.07 
22.99,12.86 
29.3,62.22 
8.14,0.55 
16.92,23.40 
22.72,56.55 
18.14,34.62 
11.49,6.53 
9.94,10.99 
23.54,13.34 
14.9,17.25 
33.8,91.56 
25.37,49.44 
7.29,16.04 
13.55,37.80 
6.39,14.03 
26.64,49.46 
7.84,7.35 
21.82,12.81 
27.17,40.99 
13.42,35.55 
20.77,51.00 
8.29,21.86 
30.98,39.04 
31.96,0.73 
15.83,0.18 
22.56,62.16 
25.91,1.91 
8.24,7.03 
24.66,41.24 
29.31,32.80 
21.48,38.63 
18.28,20.65 
26.96,71.62 
16.01,1.78 
27.37,8.13 
16.3,38.81 
23.8,13.84 
8.19,11.80 
25.28,25.39 
21.47,18.88 
30.54,40.87 
18.3,22.05 
25.82,53.20 
31.12,32.04 
15.99,34.29 
8.42,0.96 
23.7,41.98 
15.71,21.88 
29.11,80.83 
23.73,10.96 
28.26,31.91 
15.92,14.50 
33.4,83.08 
31.92,90.71 
26.87,37.60 
5.23,0.34 
15.72,5.93 
17.74,31.02 
27.13,63.50 
25.82,12.66 
34.2,71.61 
19.13,11.31 
11.77,2.12 
10.25,30.04 
23.82,57.71 
30.1,16.84 
29.92,38.85 
29.63,19.34 
30.61,68.84 
16.18,4.32 
31.66,30.00 
29.14,56.22 
18.4,0.65 
15.86,38.65 
6.31,16.55 
23.4,60.19 
33.62,16.51 
6.89,19.09 
27.41,14.10 
26.37,50.08 
26.58,38.35 
15.25,37.05 
21.24,33.77 
24.98,38.72 
26.63,65.63 
18.87,11.35 
5.12,10.49 
31.1,22.60 
7.91,21.52 
