time,price,change,volume,amount,type
15:00:03,24.11,--,241,581436,sell
14:57:00,24.11,--,0,0,sell
14:56:54,24.11,-0.02,30,72330,sell
14:56:51,24.13,0.01,7,16891,sell
14:56:48,24.12,--,13,31356,buy
14:56:42,24.12,--,56,135072,sell
14:56:30,24.12,-0.02,10,24120,sell
14:56:21,24.14,--,4,9656,buy
14:56:18,24.14,0.02,1,2414,buy
14:56:15,24.12,--,2,4824,sell
14:56:12,24.12,-0.03,10,24120,sell
14:56:09,24.15,0.03,20,48300,buy
14:56:03,24.12,-0.03,46,110952,sell
14:56:00,24.15,--,5,12075,buy
14:55:51,24.15,0.03,1,2415,buy
14:55:48,24.12,--,27,65124,sell
14:55:42,24.12,-0.03,21,50652,sell
14:55:39,24.15,0.02,7,16905,buy
14:55:36,24.13,0.01,9,21717,buy
14:55:33,24.12,--,1,2412,sell
14:55:27,24.12,--,14,33768,sell
14:55:21,24.12,--,16,38592,sell
14:55:18,24.12,-0.01,139,335268,sell
14:55:15,24.13,0.01,20,48260,buy
14:55:12,24.12,-0.01,24,57888,sell
14:55:06,24.13,--,16,38608,buy
14:55:03,24.13,-0.02,17,41021,sell
14:54:57,24.15,0.03,1,2415,buy
14:54:51,24.12,--,2,4824,sell
14:54:45,24.12,--,15,36180,sell
14:54:42,24.12,0.01,4,9648,norm
14:54:39,24.11,-0.01,29,69919,sell
14:54:33,24.12,-0.01,10,24120,buy
14:54:30,24.13,0.02,2,4826,sell
14:54:24,24.11,-0.01,19,47834,sell
14:54:15,24.12,-0.03,20,48240,sell
14:54:12,24.15,--,1,2415,buy
14:54:09,24.15,--,1,2415,buy
14:54:06,24.15,--,4,10215,sell
14:54:03,24.15,--,18,43470,sell
14:54:00,24.15,--,1,2415,sell
14:53:54,24.15,-0.01,1,2415,sell
14:53:48,24.16,--,3,7248,buy
14:53:30,24.16,0.01,4,9664,norm
14:53:27,24.15,-0.01,24,57960,sell
14:53:24,24.16,0.01,4,9664,buy
14:53:15,24.15,-0.01,8,19320,sell
14:53:09,24.16,-0.02,10,24160,sell
14:53:06,24.18,--,27,67147,buy
14:53:03,24.18,0.01,62,149916,buy
14:52:45,24.17,-0.01,5,12085,sell
14:52:39,24.18,--,4,9672,buy
14:52:36,24.18,--,4,11026,sell
14:52:24,24.18,--,22,53824,sell
14:52:15,24.18,-0.02,37,89466,sell
14:52:03,24.2,-0.01,16,39857,sell
14:51:48,24.21,--,7,17382,sell
14:51:42,24.21,--,37,90642,sell
14:51:36,24.21,--,5,13024,buy
14:51:24,24.21,0.01,23,55683,norm
14:51:03,24.2,-0.07,39,95396,sell
14:50:54,24.27,0.01,4,9708,buy
14:50:51,24.26,0.05,4,9704,buy
14:50:48,24.21,--,4,11983,buy
14:50:45,24.21,0.01,4,9684,buy
14:50:42,24.2,--,39,94646,sell
14:50:33,24.2,-0.01,10,24200,sell
14:50:30,24.21,--,20,48420,buy
14:50:24,24.21,--,3,7263,buy
14:50:21,24.21,--,2,4987,sell
