Algorithm,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SortOrder,TotalCoinSupply,TotalCoinsFreeFloat,Url,code
Scrypt,007 coin,007 coin (007),0,5294,/media/350595/007.png,007,N/A,PoW,263,989800,N/A,/coins/007/overview,007
X13,1337,1337 (1337),0,20824,/media/350976/1337.png,1337,N/A,PoW/PoS,577,314159265359,N/A,/coins/1337/overview,1337
Scrypt,1Credit,1Credit (1CR),0,5406,/media/20175/1cr.png,1CR,N/A,PoW,374,92000000000,N/A,/coins/1cr/overview,1CR
N/A,FirstBlood,FirstBlood (1ST),1,28328,/media/351524/1st.png,1ST,N/A,N/A,759,93468691,N/A,/coins/1st/overview,1ST
X11,2015 coin,2015 coin (2015),0,3744,/media/20180/2015.png,2015,N/A,PoW/PoS,33,0,N/A,/coins/2015/overview,2015
Scrypt,2BACCO Coin,2BACCO Coin (2BACCO),0,30912,/media/351869/2bacco.png,2BACCO,N/A,PoW/PoS,874,81454545,N/A,/coins/2bacco/overview,2BACCO
Scrypt,2GiveCoin,2GiveCoin (2GIVE),0,20910,/media/350986/2give.png,2GIVE,N/A,PoW/PoS,587,500000000,N/A,/coins/2give/overview,2GIVE
X11,32Bitcoin,32Bitcoin (32BIT),0,30428,/media/351763/32bit.png,32BIT,N/A,PoW/PoS,863,355000,N/A,/coins/32bit/overview,32BIT
X11,365Coin,365Coin (365),0,33639,/media/352070/365.png,365,N/A,PoW/PoS,916,2300000000,N/A,/coins/365/overview,365
N/A,3DES,3DES (3DES),0,304693,/media/12318014/3des.png,3DES,N/A,N/A,1581,35000000,N/A,/coins/3des/overview,3DES
Scrypt,404Coin,404Coin (404),0,21227,/media/351001/404.png,404,N/A,PoW/PoS,602,532000000,N/A,/coins/404/overview,404
Scrypt,42 Coin,42 Coin (42),0,4321,/media/19984/42.png,42,N/A,PoW,34,42,N/A,/coins/42/overview,42
Scrypt,ChanCoin,ChanCoin (4CHN),0,175683,/media/1383831/chan2.png,4CHN,N/A,PoW,1286,30000000,N/A,/coins/4chn/overview,4CHN
SHA256,SixEleven,SixEleven (611),0,20909,/media/350985/611.png,611,N/A,PoW,586,611000,N/A,/coins/611/overview,611
SHA256,808,808 (808),0,28223,/media/351513/808.png,808,N/A,PoW/PoS,750,N/A,N/A,/coins/808/overview,808
N/A,Octocoin,Octocoin (888),0,29462,/media/351639/888.png,888,N/A,PoW,811,135776563,N/A,/coins/888/overview,888
Scrypt,8BIT Coin,8BIT Coin (8BIT),0,5327,/media/20176/8bit.png,8BIT,N/A,PoW/PoS,295,0,N/A,/coins/8bit/overview,8BIT
N/A,8 Circuit Studios,8 Circuit Studios (8BT),0,177124,/media/1383698/8bt.png,8BT,N/A,N/A,1291,100000000,N/A,/coins/8bt/overview,8BT
N/A,AB-Chain,AB-Chain (ABC),0,303943,/media/12318006/bac.png,ABC,N/A,N/A,1577,100000000,N/A,/coins/abc/overview,ABC
Scrypt,ArtByte,ArtByte (ABY),0,5338,/media/1383379/aby.png,ABY,N/A,PoW,306,1000000000,N/A,/coins/aby/overview,ABY
Scrypt,Asia Coin,Asia Coin (AC),0,4322,/media/19593/ac.png,AC,N/A,PoS,35,360000000,N/A,/coins/ac/overview,AC
Scrypt,AdCoin,AdCoin (ACC),0,249821,/media/9350776/acc.jpg,ACC,N/A,PoW,1542,100000000,N/A,/coins/acc/overview,ACC
N/A,TokenStars,TokenStars (ACE),0,294364,/media/11999076/ace.png,ACE,N/A,N/A,1565,N/A,N/A,/coins/ace/overview,ACE
X13,AcesCoin,AcesCoin (ACES),0,45617,/media/1382661/aces.png,ACES,N/A,PoS,1104,100000000,N/A,/coins/aces/overview,ACES
SHA256,AcidCoin,AcidCoin (ACID),0,39700,/media/1382237/acid.png,ACID,N/A,PoW,1016,4500000000,N/A,/coins/acid/overview,ACID
PoS,AvonCoin,AvonCoin (ACN),0,35949,/media/352310/acn.png,ACN,N/A,PoS,976,1000000000,N/A,/coins/acn/overview,ACN
SHA256,ACoin,ACoin (ACOIN),0,4323,/media/20079/acoin.png,ACOIN,N/A,PoW,36,1600000,N/A,/coins/acoin/overview,ACOIN
SHA256,Anarchists Prime,Anarchists Prime (ACP),0,6476,/media/351019/acp.png,ACP,N/A,PoW,416,53760000,N/A,/coins/acp/overview,ACP
N/A,ACT,ACT (ACT),0,177157,/media/1383700/act.png,ACT,N/A,N/A,1293,10000000000,N/A,/coins/act/overview,ACT
