xnam,CNY,USD,EUR,BTC
007,11.4,1.91,1.6,0.0005161
1337,0.0004418,7.38e-05,6.208e-05,2e-08
1CR,0.5103,0.08524,0.0717,2.31e-05
1ST,1.78,0.2969,0.2498,8.046e-05
2015,0.05987,3.85e-06,0.008412,2.71e-06
2BACCO,0.0008837,0.0001476,0.0001242,4e-08
2GIVE,0.03249,0.005423,0.004563,1.47e-06
32BIT,0.1794,0.02996,0.0252,8.12e-06
365,0.0002209,3.689e-05,3.104e-05,1e-08
404,0.000221,3.689e-05,3.104e-05,1e-08
42,44859.79,7488.85,6300.94,2.03
4CHN,0.06851,0.01144,0.009622,3.1e-06
611,0.7379,0.1232,0.1036,3.339e-05
808,0.006851,0.001144,0.0009622,3.1e-07
888,0.01812,0.003025,0.002545,8.2e-07
8BIT,1.62,0.27,0.2272,7.32e-05
8BT,,0.5817,,
ABC,51.22,8.54,7.19,0.002316
ABY,0.0418,0.006972,0.005866,1.89e-06
AC,0.0146,0.002435,0.002048,6.6e-07
ACC,0.5388,0.08983,0.07557,2.435e-05
ACES,0.0004425,7.378e-05,6.207e-05,2e-08
ACID,0.0002213,3.689e-05,3.104e-05,1e-08
ACN,0.001991,0.000332,0.0002793,9e-08
ACOIN,0.5917,0.09865,0.08299,2.674e-05
ACP,0.01903,0.003173,0.002669,8.6e-07
ADC,0.007966,0.001328,0.001117,3.6e-07
ADCN,0.004425,0.0007378,0.0006207,2e-07
ADL,0.481,0.0802,0.06747,2.174e-05
ADN,0.0458,0.007636,0.006424,2.07e-06
ADST,0.9066,0.1519,0.1274,4.127e-05
ADT,0.2129,0.03545,0.02986,9.62e-06
ADX,3.55,0.5911,0.4978,0.0001604
ADZ,0.2559,0.0426,0.03588,1.156e-05
AE,1.87,0.3106,0.2616,8.43e-05
AEC,0.02589,0.004311,0.003631,1.17e-06
AEON,4.45,0.7414,0.6244,0.0002012
AERO,0.06086,0.01013,0.008535,2.75e-06
AGRS,2.1,0.3491,0.294,9.474e-05
AGS,0.01394,0.002322,0.001955,6.3e-07
AHT,1.33,0.2211,0.1862,6e-05
AIB,0.02811,0.00468,0.003941,1.27e-06
AIR,0.0004427,0.02183,0.01832,2e-08
ALC,0.000664,0.0001106,9.31e-05,3e-08
ALEX,0.3966,0.06596,0.05555,1.79e-05
ALF,0.003988,0.0006633,0.0005583,1.8e-07
ALN,0.003323,0.0005527,0.0004653,1.5e-07
AM,1.56,0.2588,0.2179,7.024e-05
AMB,1.53,0.2563,0.2153,6.964e-05
AMBER,0.03564,0.005932,0.004994,1.61e-06
AMC,0.00996,0.001658,0.001396,4.5e-07
AMIS,3365.54,563.34,473.14,0.1531
AMP,0.8575,0.1428,0.1202,3.874e-05
AMS,0.029,0.004828,0.004064,1.31e-06
AMY,0.003984,0.0006633,0.0005584,1.8e-07
ANAL,1.91,0.3173,0.2671,8.611e-05
ANC,0.7528,0.1254,0.1055,3.401e-05
AND,0.002877,6.205e-05,0.0004033,1.3e-07
ANT,10.54,1.75,1.48,0.0004761
ANTI,0.01926,0.015,0.002699,8.7e-07
APC,1.61,0.2685,0.226,7.285e-05
APEX,0.02855,0.004755,0.004002,1.29e-06
APT,0.01394,0.002322,0.001954,6.3e-07
APX,44.93,7.48,6.3,0.00203
ARB,0.029,0.004829,0.004065,1.31e-06
ARC*,0.3321,0.05529,0.04654,1.5e-05
ARCH,0.01328,0.002211,0.001862,6e-07
ARCO,0.2692,0.04482,0.03773,1.216e-05
ARDR,0.7228,0.1203,0.1013,3.265e-05
ARG,0.03321,0.005528,0.004654,1.5e-06
ARGUS,0.04162,0.006929,0.005833,1.88e-06
ARI,0.002657,0.0004422,0.0003723,1.2e-07
ARK,17.85,2.97,2.5,0.0008064
ARM,0.0002214,3.685e-05,3.103e-05,1e-08
ARNA,0.006642,0.001106,0.0009308,3e-07
ARPA,0.06243,0.01039,0.00875,2.82e-06
ASAFE,0.0002214,3.685e-05,3.101e-05,1e-08
ASN,0.006863,0.001143,0.0009612,3.1e-07
AST,0.003099,0.000516,0.0004343,1.4e-07
ATB,7.57,1.26,1.06,0.000342
ATM,0.2439,0.04081,0.03428,1.109e-05
ATMS,0.1775,0.02956,0.02486,8.02e-06
ATOM,0.1162,0.01935,0.01628,5.25e-06
ATX,0.01837,0.003059,0.002573,8.3e-07
AUR,3.52,0.5856,0.4926,0.0001589
AV,0.9401,0.1565,0.1317,4.247e-05
AVT,8.92,1.49,1.25,0.0004058
AXIOM,0.04228,0.007038,0.005925,1.91e-06
AXR,0.05515,0.009175,0.007724,2.49e-06
B3,1.64,0.2736,0.2303,7.424e-05
B@,3.85,0.6407,0.5394,0.0001739
BAC,0.01152,5.01e-06,0.001613,5.2e-07
BAN,0.000886,0.0001474,0.0001241,4e-08
BASH,0.0144,0.002395,0.002016,6.5e-07
BAT,1.27,0.211,0.1776,5.726e-05
