code,name,industry,area
603882,N金域,医疗保健,广东
300695,N兆丰,汽车配件,浙江
300318,博晖创新,医疗保健,北京
000815,美利云,造纸,宁夏
002680,长生生物,生物制药,江苏
300313,天山生物,农业综合,新疆
002497,雅化集团,化工原料,四川
603315,福鞍股份,机械基件,辽宁
603500,祥和实业,运输设备,浙江
603725,天安新材,塑料,广东
603016,新宏泰,电气设备,江苏
300697,电工合金,铜,江苏
002095,生 意 宝,互联网,浙江
603127,昭衍新药,医疗保健,北京
002897,意华股份,元器件,浙江
002896,中大力德,机械基件,浙江
300562,乐心医疗,医疗保健,广东
300635,达安股份,建筑施工,广东
603079,圣达生物,食品,浙江
603612,索通发展,矿物制品,山东
300685,艾德生物,生物制药,福建
300676,华大基因,医疗保健,深圳
002056,横店东磁,元器件,浙江
000762,西藏矿业,小金属,西藏
000005,世纪星源,房产服务,深圳
603181,皇马科技,化工原料,浙江
603527,众源新材,铜,安徽
300526,中潜股份,专用机械,广东
300692,中环环保,环境保护,安徽
603359,东珠景观,建筑施工,江苏
603183,建研院,建筑施工,江苏
300699,光威复材,化工原料,山东
300698,万马科技,通信设备,浙江
000011,深物业A,区域地产,深圳
600367,红星发展,化工原料,贵州
002378,章源钨业,小金属,江西
603636,南威软件,软件服务,福建
300381,溢多利,饲料,广东
300242,明家联合,互联网,广东
002184,海得控制,软件服务,上海
000792,盐湖股份,农药化肥,青海
002182,云海金属,小金属,江苏
002607,亚夏汽车,汽车服务,安徽
002846,英联股份,广告包装,广东
000023,深天地Ａ,其他建材,深圳
000973,佛塑科技,塑料,广东
002132,恒星科技,钢加工,河南
002842,翔鹭钨业,小金属,广东
603822,嘉澳环保,环境保护,浙江
000014,沙河股份,全国地产,深圳
300689,澄天伟业,元器件,深圳
300532,今天国际,软件服务,深圳
000996,中国中期,公路,北京
002843,泰嘉股份,钢加工,湖南
300672,国科微,半导体,湖南
300653,正海生物,医疗保健,山东
002392,北京利尔,其他建材,北京
000710,贝瑞基因,医疗保健,四川
002161,远 望 谷,通信设备,深圳
300522,世名科技,染料涂料,江苏
603060,国检集团,建筑施工,北京
002276,万马股份,电气设备,浙江
002827,高争民爆,化工原料,西藏
002620,瑞和股份,装修装饰,深圳
601233,桐昆股份,化纤,浙江
600107,美尔雅,服饰,湖北
601011,宝泰隆,焦炭加工,黑龙江
601015,陕西黑猫,焦炭加工,陕西
300639,凯普生物,医疗保健,广东
300337,银邦股份,铝,江苏
002149,西部材料,小金属,陕西
601388,怡球资源,铝,江苏
600773,西藏城投,区域地产,西藏
002321,华英农业,农业综合,河南
002707,众信旅游,旅游服务,北京
300515,三德科技,电器仪表,湖南
000006,深振业Ａ,区域地产,深圳
300298,三诺生物,医疗保健,湖南
000958,东方能源,火力发电,河北
002167,东方锆业,小金属,广东
600288,大恒科技,软件服务,北京
600848,上海临港,园区开发,上海
600401,*ST海润,半导体,江苏
000657,中钨高新,小金属,海南
600980,北矿科技,元器件,北京
002859,洁美科技,元器件,浙江
002066,瑞泰科技,其他建材,北京
000593,大通燃气,供气供热,四川
600167,联美控股,供气供热,辽宁
300543,朗科智能,电气设备,深圳
002667,鞍重股份,工程机械,辽宁
002631,德尔未来,家居用品,江苏
000796,凯撒旅游,旅游服务,陕西
601519,*ST智慧,软件服务,上海
600141,兴发集团,化工原料,湖北
002829,星网宇达,通信设备,北京
002771,真视通,软件服务,北京
000697,炼石有色,小金属,陕西
002774,快意电梯,运输设备,广东
002783,凯龙股份,化工原料,湖北
300277,海联讯,软件服务,深圳
300554,三超新材,矿物制品,江苏
002548,金新农,饲料,深圳
600456,宝钛股份,小金属,陕西
000851,高鸿股份,软件服务,贵州
002078,太阳纸业,造纸,山东
300649,杭州园林,建筑施工,浙江
000795,英洛华,矿物制品,山西
002733,雄韬股份,电气设备,深圳
603027,千禾味业,食品,四川
600029,南方航空,空运,广东
000962,东方钽业,小金属,宁夏
300509,新美星,专用机械,江苏
002165,红 宝 丽,化工原料,江苏
600814,杭州解百,百货,浙江
601168,西部矿业,铜,青海
300601,康泰生物,生物制药,深圳
002812,创新股份,广告包装,云南
002492,恒基达鑫,仓储物流,广东
000932,*ST华菱,普钢,湖南
000505,珠江控股,房产服务,海南
600997,开滦股份,煤炭开采,河北
002315,焦点科技,互联网,江苏
002386,天原集团,化工原料,四川
002580,圣阳股份,电气设备,山东
603063,禾望电气,电气设备,深圳
300127,银河磁体,元器件,四川
002460,赣锋锂业,小金属,江西
002150,通润装备,机械基件,江苏
002365,永安药业,化学制药,湖北
000798,中水渔业,渔业,北京
000800,一汽轿车,汽车整车,吉林
