code,name,cname
AA,ALCOA Inc,美国铝业
AXP,American Express Co,美国运通
BA,The Boeing Co,波音公司
C,Citigroup Inc,花旗集团
CAT,Caterpillar Inc,开拓重工
DD,E.I. Du Pont De Nemours & Co (DuPont),杜邦公司
DIS,The Walt Disney Co,迪士尼公司
EK,Eastman Kodak Co,柯达公司
GE,General Electric Co,通用电气
GM,General Motors Corp,通用汽车
HD,Home Depot Inc,家用仓储公司
HON,Honeywell International Inc,霍尼威尔
HPQ,Hewlett-Packard Co,惠普（康柏）公司
IBM,International Business Machines Corp,国际商业机器公司
INTC,Intel Corp,英特尔公司
IP,International Paper Co,国际纸业公司
JNJ,Johnson & Johnson Inc,强生制药
JPM,JP Morgan Chase & Co,JP摩根
KO,Coca-Cola Co (Coke),可口可乐
MCD,McDonald s Corp,麦当劳快餐
MMM,Minnesota Mining & Manufacturing Co,明尼苏达矿业制造公司（3M公司）
MO,Philip Morris Companies Inc,菲利浦·莫里斯公司
MRK,Merck & Co Inc,默克制药
MSFT,Microsoft Corp,微软公司
PG,The Procter & Gamble Co,宝洁公司
SBC,SBC Communications Inc,西南贝尔
T,AT&T Corp,美国电报电话
UTX,United Technologies Corp,联合技术公司
WMT,Wal-Mart Stores Inc,沃尔玛公司
XOM,Exxon Mobil Corp,艾克森·美孚公司
