code,name,industry,area
300255,常山药业,生物制药,河北
300256,星星科技,元器件,浙江
300257,开山股份,机械基件,浙江
300258,精锻科技,汽车配件,江苏
300259,新天科技,电器仪表,河南
300260,新莱应材,机械基件,江苏
300261,雅本化学,农药化肥,江苏
300262,巴安水务,环境保护,上海
300263,隆华节能,专用机械,河南
300264,佳创视讯,通信设备,深圳
300265,通光线缆,电气设备,江苏
300266,兴源环境,环境保护,浙江
300267,尔康制药,化学制药,湖南
300268,佳沃股份,农业综合,湖南
300269,联建光电,半导体,深圳
300270,中威电子,通信设备,浙江
300271,华宇软件,软件服务,北京
300272,开能环保,环境保护,上海
300273,和佳股份,医疗保健,广东
300274,阳光电源,电气设备,安徽
300275,梅安森,软件服务,重庆
300276,三丰智能,专用机械,湖北
300277,海联讯,软件服务,深圳
300278,华昌达,专用机械,湖北
300279,和晶科技,元器件,江苏
300280,南通锻压,专用机械,江苏
300281,金明精机,专用机械,广东
300282,汇冠股份,电脑设备,北京
300283,温州宏丰,电气设备,浙江
300284,苏交科,建筑施工,江苏
300285,国瓷材料,陶瓷,山东
300286,安科瑞,电器仪表,上海
300287,飞利信,软件服务,北京
300288,朗玛信息,软件服务,贵州
300289,利德曼,生物制药,北京
300290,荣科科技,软件服务,辽宁
300291,华录百纳,影视音像,北京
300292,吴通控股,通信设备,江苏
300293,蓝英装备,专用机械,辽宁
300294,博雅生物,生物制药,江西
300295,三六五网,互联网,江苏
300296,利亚德,半导体,北京
300297,蓝盾股份,软件服务,广东
300298,三诺生物,医疗保健,湖南
300299,富春股份,通信设备,福建
300300,汉鼎宇佑,软件服务,浙江
300301,长方集团,半导体,深圳
300302,同有科技,软件服务,北京
300303,聚飞光电,半导体,深圳
300304,云意电气,汽车配件,江苏
300305,裕兴股份,塑料,江苏
300306,远方信息,电器仪表,浙江
300307,慈星股份,纺织机械,浙江
300308,中际装备,工程机械,山东
300309,吉艾科技,专用机械,北京
300310,宜通世纪,通信设备,广东
300311,任子行,软件服务,广东
300312,邦讯技术,通信设备,北京
300313,天山生物,农业综合,新疆
300314,戴维医疗,医疗保健,浙江
300315,掌趣科技,互联网,北京
300316,晶盛机电,专用机械,浙江
300317,珈伟股份,半导体,深圳
300318,博晖创新,医疗保健,北京
300319,麦捷科技,元器件,深圳
300320,海达股份,橡胶,江苏
300321,同大股份,塑料,山东
300322,硕贝德,通信设备,广东
300323,华灿光电,半导体,湖北
300324,旋极信息,软件服务,北京
300325,德威新材,塑料,江苏
300326,凯利泰,医疗保健,上海
300327,中颖电子,半导体,上海
300328,宜安科技,铝,广东
300329,海伦钢琴,文教休闲,浙江
300330,华虹计通,软件服务,上海
300331,苏大维格,元器件,江苏
300332,天壕环境,环境保护,北京
300333,兆日科技,元器件,深圳
300334,津膜科技,专用机械,天津
300335,迪森股份,供气供热,广东
300336,新文化,影视音像,上海
300337,银邦股份,铝,江苏
300338,开元股份,电器仪表,湖南
300339,润和软件,软件服务,江苏
300340,科恒股份,元器件,广东
300341,麦迪电气,电气设备,福建
300342,天银机电,元器件,江苏
300343,联创互联,互联网,山东
300344,太空板业,其他建材,北京
300345,红宇新材,钢加工,湖南
300346,南大光电,元器件,江苏
300347,泰格医药,医疗保健,浙江
300348,长亮科技,软件服务,深圳
300349,金卡智能,电器仪表,浙江
300350,华鹏飞,仓储物流,深圳
300351,永贵电器,元器件,浙江
300352,北信源,软件服务,北京
300353,东土科技,通信设备,北京
300354,东华测试,电器仪表,江苏
300355,蒙草生态,环境保护,内蒙
300356,光一科技,电气设备,江苏
