code,name,industry,area,Lastdate
600145,*ST新亿,陶瓷,新疆,2015-12-04
2492,恒基达鑫,仓储物流,广东,2016-02-23
693,华泽钴镍,小金属,四川,2016-02-29
600732,*ST新梅,区域地产,上海,2016-03-17
603838,四通股份,陶瓷,广东,2016-03-23
600710,*ST常林,工程机械,江苏,2016-03-29
2129,中环股份,半导体,天津,2016-04-22
155,*ST川化,农药化肥,四川,2016-04-25
600636,三爱富,化工原料,上海,2016-05-06
601005,重庆钢铁,普钢,重庆,2016-06-01
2576,通达动力,电气设备,江苏,2016-06-13
916,华北高速,路桥,北京,2016-06-23
2745,木林森,半导体,广东,2016-07-15
2571,德力股份,玻璃,安徽,2016-08-01
2526,山东矿机,工程机械,山东,2016-08-01
600890,中房股份,区域地产,北京,2016-08-19
300372,欣泰电气,电气设备,辽宁,2016-08-22
2478,常宝股份,普钢,江苏,2016-08-24
603518,维格娜丝,服饰,江苏,2016-08-29
601727,上海电气,电气设备,上海,2016-08-30
2025,航天电器,元器件,贵州,2016-09-09
300088,长信科技,元器件,安徽,2016-09-09
2584,西陇科学,化工原料,广东,2016-09-09
600733,S前锋,区域地产,四川,2016-09-12
29,深深房Ａ,区域地产,深圳,2016-09-13
2075,沙钢股份,特种钢,江苏,2016-09-14
600725,云维股份,焦炭加工,云南,2016-09-22
600859,王府井,百货,北京,2016-09-26
2462,嘉事堂,医药商业,北京,2016-09-27
682,东方电子,电气设备,山东,2016-09-30
2034,美 欣 达,纺织,浙江,2016-09-30
2578,闽发铝业,铝,福建,2016-10-11
2239,奥特佳,服饰,江苏,2016-10-17
603399,新华龙,小金属,辽宁,2016-10-19
2440,闰土股份,染料涂料,浙江,2016-10-21
748,长城信息,电脑设备,湖南,2016-10-31
600225,天津松江,区域地产,天津,2016-11-07
600855,航天长峰,专用机械,北京,2016-11-07
2316,键桥通讯,软件服务,深圳,2016-11-09
600151,航天机电,半导体,上海,2016-11-10
2226,江南化工,化工原料,安徽,2016-11-11
603558,健盛集团,纺织,浙江,2016-11-14
600673,东阳光科,铝,广东,2016-11-14
2151,北斗星通,通信设备,北京,2016-11-15
697,炼石有色,小金属,陕西,2016-11-16
2482,广田股份,装修装饰,深圳,2016-11-16
600807,天业股份,区域地产,山东,2016-11-18
2099,海翔药业,化学制药,浙江,2016-11-18
2098,浔兴股份,服饰,福建,2016-11-18
982,中银绒业,纺织,宁夏,2016-11-21
603308,应流股份,专用机械,安徽,2016-11-23
603169,兰石重装,专用机械,甘肃,2016-11-23
601700,风范股份,电气设备,江苏,2016-11-24
600551,时代出版,出版业,安徽,2016-11-25
2400,省广股份,广告包装,广东,2016-11-25
2048,宁波华翔,汽车配件,浙江,2016-11-28
2113,天润控股,农药化肥,湖南,2016-11-29
300212,易华录,软件服务,北京,2016-11-29
300490,华自科技,电气设备,湖南,2016-12-02
821,京山轻机,轻工机械,湖北,2016-12-02
2579,中京电子,元器件,广东,2016-12-02
2260,德奥通航,航空,广东,2016-12-02
516,国际医学,百货,陕西,2016-12-02
300065,海兰信,软件服务,北京,2016-12-07
2120,新海股份,家居用品,浙江,2016-12-09
2128,露天煤业,煤炭开采,内蒙,2016-12-09
2127,南极电商,互联网,江苏,2016-12-09
2126,银轮股份,汽车配件,浙江,2016-12-09
2114,罗平锌电,铅锌,云南,2016-12-09
2111,威海广泰,航空,山东,2016-12-09
2125,湘潭电化,化工原料,湖南,2016-12-09
2124,天邦股份,饲料,浙江,2016-12-09
2115,三维通信,通信设备,浙江,2016-12-09
2123,荣信股份,电气设备,辽宁,2016-12-09
2122,天马股份,机械基件,浙江,2016-12-09
2110,三钢闽光,普钢,福建,2016-12-09
2109,*ST兴化,化工原料,陕西,2016-12-09
2104,恒宝股份,元器件,江苏,2016-12-09
2108,沧州明珠,塑料,河北,2016-12-09
2116,中国海诚,建筑施工,上海,2016-12-09
2117,东港股份,广告包装,山东,2016-12-09
2587,奥拓电子,元器件,深圳,2016-12-09
2118,紫鑫药业,中成药,吉林,2016-12-09
2112,三变科技,电气设备,浙江,2016-12-09
2105,信隆实业,文教休闲,深圳,2016-12-09
2106,莱宝高科,元器件,深圳,2016-12-09
2107,沃华医药,中成药,山东,2016-12-09
2121,科陆电子,电器仪表,深圳,2016-12-09
2119,康强电子,半导体,浙江,2016-12-09
2130,沃尔核材,电气设备,深圳,2016-12-09
2569,步森股份,服饰,浙江,2016-12-09
2132,恒星科技,钢加工,河南,2016-12-09
