code,name,date,weight
000792,盐湖股份,2017-06-01,0.11
600029,南方航空,2017-06-01,0.32
000800,一汽轿车,2017-06-01,0.08
600804,鹏博士,2017-06-01,0.19
600009,上海机场,2017-06-01,0.38
000063,中兴通讯,2017-06-01,0.48
300015,爱尔眼科,2017-06-01,0.14
601888,中国国旅,2017-06-01,0.28
002008,大族激光,2017-06-01,0.27
601899,紫金矿业,2017-06-01,0.37
002153,石基信息,2017-06-01,0.07
000009,中国宝安,2017-06-01,0.16
600754,锦江股份,2017-06-01,0.04
601111,中国国航,2017-06-01,0.21
600297,广汇汽车,2017-06-01,0.17
600115,东方航空,2017-06-01,0.21
002027,分众传媒,2017-06-01,0.08
000402,金 融 街,2017-06-01,0.14
600489,中金黄金,2017-06-01,0.17
601919,中远海控,2017-06-01,0.21
600276,恒瑞医药,2017-06-01,0.88
600816,安信信托,2017-06-01,0.2
600674,川投能源,2017-06-01,0.22
601958,金钼股份,2017-06-01,0.07
300017,网宿科技,2017-06-01,0.16
601127,小康股份,2017-06-01,0.03
600547,山东黄金,2017-06-01,0.21
000008,神州高铁,2017-06-01,0.06
600309,万华化学,2017-06-01,0.32
600873,梅花生物,2017-06-01,0.11
002568,百润股份,2017-06-01,0.03
600048,保利地产,2017-06-01,0.71
600000,浦发银行,2017-06-01,1.49
300146,汤臣倍健,2017-06-01,0.09
000027,深圳能源,2017-06-01,0.08
600886,国投电力,2017-06-01,0.33
002065,东华软件,2017-06-01,0.2
300251,光线传媒,2017-06-01,0.07
600037,歌华有线,2017-06-01,0.1
601088,中国神华,2017-06-01,0.44
002152,广电运通,2017-06-01,0.09
600704,物产中大,2017-06-01,0.13
600406,国电南瑞,2017-06-01,0.25
002714,牧原股份,2017-06-01,0.08
002241,歌尔股份,2017-06-01,0.32
600498,烽火通信,2017-06-01,0.12
002466,天齐锂业,2017-06-01,0.25
600582,天地科技,2017-06-01,0.07
000338,潍柴动力,2017-06-01,0.28
002024,苏宁云商,2017-06-01,0.39
600867,通化东宝,2017-06-01,0.21
002074,国轩高科,2017-06-01,0.12
600887,伊利股份,2017-06-01,1.21
600827,百联股份,2017-06-01,0.13
600739,辽宁成大,2017-06-01,0.21
600221,海航控股,2017-06-01,0.22
002673,西部证券,2017-06-01,0.24
600741,华域汽车,2017-06-01,0.26
300315,掌趣科技,2017-06-01,0.18
600900,长江电力,2017-06-01,1.02
300133,华策影视,2017-06-01,0.08
002797,第一创业,2017-06-01,0.04
002142,宁波银行,2017-06-01,0.37
601225,陕西煤业,2017-06-01,0.12
601021,春秋航空,2017-06-01,0.09
000069,华侨城Ａ,2017-06-01,0.3
600188,兖州煤业,2017-06-01,0.04
002450,康得新,2017-06-01,0.51
600021,上海电力,2017-06-01,0.11
002500,山西证券,2017-06-01,0.11
002085,万丰奥威,2017-06-01,0.17
600549,厦门钨业,2017-06-01,0.09
601333,广深铁路,2017-06-01,0.15
601933,永辉超市,2017-06-01,0.26
001979,招商蛇口,2017-06-01,0.49
000983,西山煤电,2017-06-01,0.12
002594,比亚迪,2017-06-01,0.28
601866,中远海发,2017-06-01,0.11
600383,金地集团,2017-06-01,0.28
000060,中金岭南,2017-06-01,0.15
300124,汇川技术,2017-06-01,0.23
000001,平安银行,2017-06-01,0.81
000839,中信国安,2017-06-01,0.25
600820,隧道股份,2017-06-01,0.19
002007,华兰生物,2017-06-01,0.2
300024,机器人,2017-06-01,0.2
