code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,-0.01,3364.4275,3365.4974,3365.2426,3380.8898,3353.6876,198405184,2351.6023
000002,Ａ股指数,-0.01,3523.4326,3524.5692,3524.047,3540.588,3511.9573,197225774,2343.2212
000003,Ｂ股指数,2.32,347.8397,347.4385,355.5119,358.1359,347.8363,1179410,8.3811
000008,综合指数,-0.15,3094.46,3095.7496,3091.235,3109.0936,3080.6105,38120627,444.671
000009,上证380,0.27,5687.7353,5687.9143,5703.2781,5718.9187,5674.273,47909719,567.3178
000010,上证180,-0.06,8337.3962,8336.3224,8330.9507,8373.6883,8310.4847,74783199,864.8186
000011,基金指数,0.01,6138.6346,6140.2361,6140.6242,6152.4128,6132.002,20292624,283.69
000012,国债指数,-0.01,160.6059,160.5906,160.5736,160.6155,160.5437,268659,2.6789
000016,上证50,-0.19,2692.7975,2691.829,2686.6899,2701.5697,2681.4428,24471292,325.9954
000017,新综指,-0.01,2841.0304,2841.9474,2841.5261,2854.8707,2831.7725,197220541,2343.0191
