code,ename,id,name,tim0
000001,SZZS_000001,0,上证指数,1994-01-01
000002,AGZS_000002,1,A股指数,1994-01-01
000003,BGZS_000003,2,B股指数,1994-01-01
000008,ZHZS_000008,3,综合指数,1994-01-01
000009,SZ380_000009,4,上证380,2011-01-01
000010,SZ180_000010,5,上证180,2000-01-01
000011,JJZS_000011,6,基金指数,2001-01-01
000012,GZZS_000012,7,国债指数,2003-01-01
000016,SZ50_000016,8,上证50,2004-01-01
000017,XZZ_000017,9,新综指,2006-01-01
000300,HS300_000300,10,沪深300,2005-01-01
399001,SZCZ_399001,11,深证成指,1994-01-01
399002,SCZR_399002,12,深成指R,1994-01-01
399003,CFBZ_399003,13,成份B指,1994-01-01
399004,SZ100R_399004,14,深证100R,2003-01-01
399005,ZXBZ_399005,15,中小板指,2009-01-01
399006,CYBZ_399006,16,创业板指,2011-01-01
399100,SZXZS_399100,17,深证新指数,2006-01-01
399101,ZXBZ_399101,18,中小板综,2006-01-01
399106,SZZZ_399106,19,深证综指,2000-01-01
399107,SZAZ_399107,20,深证A指,2000-01-01
399108,SZBZ_399108,21,深证B指,2000-01-01
399333,ZXBR_399333,22,中小板R,2007-01-01
399606,CYBR_399606,23,创业板R,2011-01-01
